Lat,Lon
39.30574,-76.6448
39.29812,-76.66516
39.31003,-76.67597
39.32516,-76.60771
39.35766,-76.69897
39.32543,-76.58725
39.34334,-76.66345
39.31076,-76.65061
39.29458,-76.59852
39.30039,-76.58448
39.31539,-76.65423
39.31783,-76.59401
39.28862,-76.6095
39.29593,-76.67584
39.29593,-76.67584
39.27497,-76.5435
39.29529,-76.59129
39.29442,-76.59873
39.32146,-76.68199
39.2902,-76.5939
39.2902,-76.5939
39.32139,-76.62412
39.22812,-76.60199
39.29658,-76.59752
39.25197,-76.62298
39.2878,-76.65433
39.29131,-76.6101
39.30184,-76.63749
39.31294,-76.59513
39.31294,-76.59513
39.29767,-76.6
39.285,-76.61309
39.31663,-76.63242
39.28751,-76.63374
39.29034,-76.61512
39.31755,-76.65169
39.30449,-76.66911
39.28392,-76.64074
39.29483,-76.58272
39.29483,-76.58272
39.29223,-76.57528
39.30576,-76.58512
39.28816,-76.64518
39.29409,-76.61554
39.31825,-76.6095
39.29141,-76.56626
39.22213,-76.58821
39.28867,-76.6212
39.23695,-76.60244
39.28217,-76.55544
39.32458,-76.59482
39.29254,-76.6135
39.3011,-76.57787
39.23654,-76.60696
39.2677,-76.67446
39.29639,-76.57298
39.31839,-76.665
39.28513,-76.59531
39.30624,-76.64483
39.28706,-76.55422
39.28081,-76.65414
39.29602,-76.57647
39.27925,-76.65531
39.30385,-76.57922
39.31783,-76.59401
39.2935,-76.69257
39.35141,-76.5686
39.35141,-76.5686
39.29847,-76.57302
39.33057,-76.62995
39.30067,-76.60416
39.30248,-76.64253
39.29855,-76.5581
39.29156,-76.6198
39.30497,-76.5762
39.27874,-76.63663
39.29198,-76.61552
39.31137,-76.59099
39.30509,-76.58123
39.35986,-76.60678
39.29554,-76.66348
39.32743,-76.63034
39.34108,-76.60899
39.34612,-76.68806
39.28066,-76.64727
39.35203,-76.56518
39.31485,-76.62828
39.36839,-76.54749
39.28754,-76.55738
39.28754,-76.55738
39.35341,-76.60254
39.35503,-76.60991
39.3359,-76.53711
39.27408,-76.62769
39.339,-76.66796
39.28789,-76.59583
39.30479,-76.59658
39.27591,-76.6948
39.28122,-76.54819
39.31419,-76.56362
39.27891,-76.62386
39.31325,-76.63334
39.31325,-76.63334
39.31325,-76.63334
39.2287,-76.59765
39.27725,-76.6857
39.28188,-76.67956
39.28428,-76.63927
39.28881,-76.59381
39.30077,-76.66731
39.29206,-76.58101
39.29559,-76.662
39.31554,-76.65871
39.31554,-76.65871
39.36384,-76.59687
39.31005,-76.61074
39.28353,-76.64206
39.30156,-76.57897
